Customer_ID,R,F,M,R_score,F_score,M_score,RFM_SCORE,Segment
1,287,3,5600,2,1,3,213,Normal Value
2,71,6,6459,3,2,3,323,High Value
3,221,4,3613,2,1,2,212,Normal Value
4,440,5,4339,1,2,2,122,Churned High Value
5,423,5,2263,1,2,1,121,Hibernated Normal Value
6,139,9,9439,2,3,3,233,High Value
7,141,8,4441,2,3,2,232,Key Development
8,24,7,8192,3,3,3,333,High Value
9,140,7,4719,2,3,3,233,High Value
10,129,8,6693,2,3,3,233,High Value
11,101,8,5557,3,3,3,333,High Value
12,112,7,5047,2,3,3,233,High Value
13,257,5,3249,2,2,2,222,Key Development
14,262,5,4010,2,2,2,222,Key Development
15,80,5,2599,3,2,1,321,Normal Value
16,104,3,1907,3,1,1,311,Normal Value
17,101,8,8557,3,3,3,333,High Value
18,425,2,852,1,1,1,111,Hibernated Normal Value
19,517,5,3953,1,2,2,122,Churned High Value
20,75,4,2431,3,1,1,311,Normal Value
21,264,5,2422,2,2,1,221,Normal Value
22,12,5,1902,3,2,1,321,Normal Value
23,133,7,6804,2,3,3,233,High Value
24,143,4,2064,2,1,1,211,Normal Value
25,352,3,3395,1,1,2,112,Hibernated Normal Value
26,183,3,2000,2,1,1,211,Normal Value
27,238,4,2891,2,1,2,212,Normal Value
28,307,4,4877,1,1,3,113,Hibernated Normal Value
29,570,5,2229,1,2,1,121,Hibernated Normal Value
30,56,4,1770,3,1,1,311,Normal Value
31,152,6,6204,2,2,3,223,Key Development
32,862,5,4650,1,2,3,123,Churned High Value
33,486,7,6593,1,3,3,133,Churned High Value
34,299,1,1413,1,1,1,111,Hibernated Normal Value
35,269,8,6569,2,3,3,233,High Value
36,24,4,2951,3,1,2,312,Normal Value
37,31,8,5934,3,3,3,333,High Value
38,235,4,2522,2,1,1,211,Normal Value
39,471,7,5773,1,3,3,133,Churned High Value
40,276,6,5371,2,2,3,223,Key Development
41,234,7,3714,2,3,2,232,Key Development
42,18,6,4030,3,2,2,322,Key Development
43,119,5,3217,2,2,2,222,Key Development
44,67,4,2284,3,1,1,311,Normal Value
45,19,7,4984,3,3,3,333,High Value
46,144,8,7932,2,3,3,233,High Value
47,240,8,6455,2,3,3,233,High Value
48,24,3,2057,3,1,1,311,Normal Value
49,795,2,2460,1,1,1,111,Hibernated Normal Value
50,197,4,2679,2,1,1,211,Normal Value
51,318,11,9451,1,3,3,133,Churned High Value
52,81,8,7967,3,3,3,333,High Value
53,169,4,1184,2,1,1,211,Normal Value
54,119,5,1346,2,2,1,221,Normal Value
55,270,5,4345,2,2,2,222,Key Development
56,538,4,3350,1,1,2,112,Hibernated Normal Value
57,322,5,2129,1,2,1,121,Hibernated Normal Value
58,155,4,1866,2,1,1,211,Normal Value
59,55,7,3986,3,3,2,332,High Value
60,291,8,6292,2,3,3,233,High Value
61,87,4,2698,3,1,1,311,Normal Value
62,485,3,976,1,1,1,111,Hibernated Normal Value
63,362,6,5572,1,2,3,123,Churned High Value
64,705,3,3731,1,1,2,112,Hibernated Normal Value
65,65,6,2577,3,2,1,321,Normal Value
66,46,6,4495,3,2,2,322,Key Development
67,295,2,1176,1,1,1,111,Hibernated Normal Value
68,834,3,2309,1,1,1,111,Hibernated Normal Value
69,224,3,2544,2,1,1,211,Normal Value
70,4,9,6827,3,3,3,333,High Value
71,428,2,2131,1,1,1,111,Hibernated Normal Value
72,164,7,7038,2,3,3,233,High Value
73,569,2,1186,1,1,1,111,Hibernated Normal Value
74,130,5,5713,2,2,3,223,Key Development
75,207,3,3597,2,1,2,212,Normal Value
76,101,2,1072,3,1,1,311,Normal Value
77,778,2,1174,1,1,1,111,Hibernated Normal Value
78,597,4,3732,1,1,2,112,Hibernated Normal Value
79,789,3,3233,1,1,2,112,Hibernated Normal Value
80,349,10,5561,1,3,3,133,Churned High Value
81,346,5,2698,1,2,1,121,Hibernated Normal Value
82,97,4,3828,3,1,2,312,Normal Value
83,157,8,7024,2,3,3,233,High Value
84,68,3,2764,3,1,2,312,Normal Value
85,252,7,5167,2,3,3,233,High Value
86,271,6,4323,2,2,2,222,Key Development
87,242,2,1155,2,1,1,211,Normal Value
88,417,5,4595,1,2,3,123,Churned High Value
89,1,7,6822,3,3,3,333,High Value
90,0,6,6608,3,2,3,323,High Value
91,90,6,6662,3,2,3,323,High Value
92,262,3,1652,2,1,1,211,Normal Value
93,297,3,2284,1,1,1,111,Hibernated Normal Value
94,87,6,7378,3,2,3,323,High Value
95,107,4,2764,3,1,2,312,Normal Value
96,0,7,4413,3,3,2,332,High Value
97,233,3,4760,2,1,3,213,Normal Value
98,221,6,3526,2,2,2,222,Key Development
99,658,4,2781,1,1,2,112,Hibernated Normal Value
100,21,8,7854,3,3,3,333,High Value
101,121,8,4421,2,3,2,232,Key Development
102,963,1,28,1,1,1,111,Hibernated Normal Value
103,87,7,3228,3,3,2,332,High Value
104,540,4,4149,1,1,2,112,Hibernated Normal Value
105,214,4,2636,2,1,1,211,Normal Value
106,54,3,3148,3,1,2,312,Normal Value
107,300,4,2514,1,1,1,111,Hibernated Normal Value
108,260,11,7111,2,3,3,233,High Value
109,106,5,4790,3,2,3,323,High Value
110,457,3,1700,1,1,1,111,Hibernated Normal Value
111,321,5,5940,1,2,3,123,Churned High Value
112,558,2,518,1,1,1,111,Hibernated Normal Value
113,331,4,2093,1,1,1,111,Hibernated Normal Value
114,693,5,2515,1,2,1,121,Hibernated Normal Value
115,197,7,7374,2,3,3,233,High Value
116,35,4,1052,3,1,1,311,Normal Value
117,27,6,6450,3,2,3,323,High Value
118,211,6,4586,2,2,3,223,Key Development
119,434,6,5958,1,2,3,123,Churned High Value
120,257,5,5209,2,2,3,223,Key Development
121,497,5,3505,1,2,2,122,Churned High Value
122,140,5,3562,2,2,2,222,Key Development
123,25,3,2162,3,1,1,311,Normal Value
124,706,2,1344,1,1,1,111,Hibernated Normal Value
125,35,6,3007,3,2,2,322,Key Development
126,612,3,1665,1,1,1,111,Hibernated Normal Value
127,950,1,170,1,1,1,111,Hibernated Normal Value
128,380,2,2507,1,1,1,111,Hibernated Normal Value
129,191,6,4308,2,2,2,222,Key Development
130,163,4,2429,2,1,1,211,Normal Value
131,541,4,1953,1,1,1,111,Hibernated Normal Value
132,244,3,4024,2,1,2,212,Normal Value
133,6,8,6495,3,3,3,333,High Value
134,185,4,5034,2,1,3,213,Normal Value
135,251,6,5356,2,2,3,223,Key Development
136,368,8,8025,1,3,3,133,Churned High Value
137,493,8,5393,1,3,3,133,Churned High Value
138,230,2,898,2,1,1,211,Normal Value
139,66,7,5736,3,3,3,333,High Value
140,135,3,1180,2,1,1,211,Normal Value
141,327,9,8483,1,3,3,133,Churned High Value
142,465,2,1770,1,1,1,111,Hibernated Normal Value
143,177,8,5058,2,3,3,233,High Value
144,51,6,2692,3,2,1,321,Normal Value
145,141,10,8341,2,3,3,233,High Value
146,792,2,1181,1,1,1,111,Hibernated Normal Value
147,145,7,4897,2,3,3,233,High Value
148,72,2,1038,3,1,1,311,Normal Value
149,201,6,7273,2,2,3,223,Key Development
150,20,1,588,3,1,1,311,Normal Value
151,65,8,5607,3,3,3,333,High Value
152,268,4,2303,2,1,1,211,Normal Value
153,398,7,5243,1,3,3,133,Churned High Value
154,7,11,11692,3,3,3,333,High Value
155,27,6,3719,3,2,2,322,Key Development
156,112,5,2156,2,2,1,221,Normal Value
157,42,8,8622,3,3,3,333,High Value
158,338,4,3011,1,1,2,112,Hibernated Normal Value
159,81,3,4038,3,1,2,312,Normal Value
160,901,2,612,1,1,1,111,Hibernated Normal Value
161,67,5,2953,3,2,2,322,Key Development
162,975,4,2153,1,1,1,111,Hibernated Normal Value
163,642,4,2829,1,1,2,112,Hibernated Normal Value
164,991,4,2063,1,1,1,111,Hibernated Normal Value
165,168,6,5035,2,2,3,223,Key Development
166,356,9,6385,1,3,3,133,Churned High Value
167,467,4,3835,1,1,2,112,Hibernated Normal Value
169,175,8,7116,2,3,3,233,High Value
170,42,8,5067,3,3,3,333,High Value
171,428,1,2290,1,1,1,111,Hibernated Normal Value
172,450,6,2141,1,2,1,121,Hibernated Normal Value
173,157,5,3461,2,2,2,222,Key Development
174,38,2,642,3,1,1,311,Normal Value
175,223,4,4356,2,1,2,212,Normal Value
176,15,7,7277,3,3,3,333,High Value
177,90,4,3204,3,1,2,312,Normal Value
178,148,9,7621,2,3,3,233,High Value
179,9,5,2913,3,2,2,322,Key Development
180,59,1,112,3,1,1,311,Normal Value
181,236,3,1820,2,1,1,211,Normal Value
182,32,7,3922,3,3,2,332,High Value
183,261,3,1604,2,1,1,211,Normal Value
184,97,9,7027,3,3,3,333,High Value
185,168,9,6276,2,3,3,233,High Value
186,395,3,1341,1,1,1,111,Hibernated Normal Value
187,542,1,1461,1,1,1,111,Hibernated Normal Value
188,62,4,3435,3,1,2,312,Normal Value
189,615,2,1167,1,1,1,111,Hibernated Normal Value
190,1075,1,680,1,1,1,111,Hibernated Normal Value
191,1142,2,187,1,1,1,111,Hibernated Normal Value
192,42,8,4606,3,3,3,333,High Value
193,82,5,4529,3,2,2,322,Key Development
194,19,6,4446,3,2,2,322,Key Development
195,167,6,4780,2,2,3,223,Key Development
196,440,5,2184,1,2,1,121,Hibernated Normal Value
197,181,4,1945,2,1,1,211,Normal Value
198,137,7,8302,2,3,3,233,High Value
199,307,6,3200,1,2,2,122,Churned High Value
200,96,8,9964,3,3,3,333,High Value
201,12,2,532,3,1,1,311,Normal Value
202,169,6,4031,2,2,2,222,Key Development
203,435,3,3021,1,1,2,112,Hibernated Normal Value
204,75,12,7768,3,3,3,333,High Value
205,146,11,9735,2,3,3,233,High Value
206,32,6,5144,3,2,3,323,High Value
207,212,8,5875,2,3,3,233,High Value
208,324,8,5588,1,3,3,133,Churned High Value
209,5,7,5038,3,3,3,333,High Value
210,18,7,4155,3,3,2,332,High Value
211,131,10,6079,2,3,3,233,High Value
212,113,6,4938,2,2,3,223,Key Development
213,300,6,6082,1,2,3,123,Churned High Value
214,204,3,3736,2,1,2,212,Normal Value
215,377,4,2784,1,1,2,112,Hibernated Normal Value
216,91,8,7854,3,3,3,333,High Value
217,117,5,3360,2,2,2,222,Key Development
218,487,8,7871,1,3,3,133,Churned High Value
219,17,6,2933,3,2,2,322,Key Development
220,207,4,5269,2,1,3,213,Normal Value
221,257,6,2053,2,2,1,221,Normal Value
222,138,4,4176,2,1,2,212,Normal Value
223,26,4,4140,3,1,2,312,Normal Value
224,73,6,5223,3,2,3,323,High Value
225,1,3,3540,3,1,2,312,Normal Value
226,40,5,4307,3,2,2,322,Key Development
227,311,4,3567,1,1,2,112,Hibernated Normal Value
228,127,4,3912,2,1,2,212,Normal Value
229,329,6,6791,1,2,3,123,Churned High Value
230,42,10,6747,3,3,3,333,High Value
231,276,6,1491,2,2,1,221,Normal Value
232,288,6,4911,2,2,3,223,Key Development
